iter	Passed	Remaining
0	161	161144
1	163	81418
2	164	54570
3	165	41161
4	166	33103
5	166	27651
6	167	23811
7	169	20967
8	170	18730
9	171	16988
10	172	15543
11	173	14291
12	175	13289
13	176	12421
14	177	11668
15	178	10983
16	179	10368
17	180	9845
18	181	9381
19	183	8974
20	184	8601
21	186	8269
22	186	7940
23	187	7621
24	188	7344
25	189	7116
26	191	6890
27	192	6683
28	193	6475
29	194	6299
30	196	6131
31	197	5972
32	198	5828
33	199	5671
34	200	5537
35	202	5409
36	203	5289
37	204	5171
38	205	5063
39	207	4972
40	208	4875
41	210	4790
42	211	4700
43	212	4611
44	213	4531
45	215	4458
46	216	4390
47	217	4312
48	219	4252
49	220	4191
50	222	4133
51	223	4075
52	224	4012
53	225	3955
54	227	3906
55	228	3849
56	229	3799
57	231	3752
58	232	3703
59	233	3654
60	234	3603
61	235	3564
62	237	3527
63	238	3492
64	240	3452
65	241	3418
66	242	3383
67	244	3349
68	245	3318
69	247	3285
70	248	3255
71	249	3222
72	251	3188
73	252	3158
74	254	3134
75	255	3109
76	257	3081
77	258	3055
78	259	3025
79	260	2999
80	261	2970
81	262	2943
82	264	2920
83	265	2895
84	266	2870
85	267	2842
86	268	2815
87	269	2791
88	270	2769
89	272	2751
90	273	2733
91	275	2716
92	276	2694
93	277	2679
94	279	2662
95	281	2646
96	282	2628
97	283	2610
98	284	2593
99	286	2576
100	287	2560
101	288	2543
102	290	2527
103	291	2510
104	292	2492
105	294	2479
106	295	2467
107	296	2451
108	298	2439
109	299	2422
110	300	2408
111	302	2394
112	303	2382
113	304	2369
114	305	2352
115	306	2339
116	308	2328
117	309	2315
118	310	2302
119	312	2291
120	313	2278
121	315	2267
122	315	2249
123	316	2238
124	318	2228
125	319	2216
126	321	2207
127	322	2197
128	323	2184
129	324	2174
130	326	2164
131	327	2156
132	329	2148
133	330	2137
134	332	2128
135	333	2117
136	334	2109
137	336	2101
138	337	2091
139	339	2082
140	340	2074
141	341	2063
142	342	2053
143	343	2044
144	345	2036
145	346	2029
146	348	2021
147	350	2019
148	351	2009
149	353	2002
150	354	1994
151	356	1986
152	357	1976
153	358	1969
154	360	1962
155	361	1956
156	362	1948
157	364	1941
158	365	1934
159	366	1924
160	367	1916
161	368	1906
162	369	1897
163	371	1891
164	372	1886
165	373	1878
166	374	1870
167	376	1864
168	377	1855
169	378	1849
170	379	1840
171	380	1834
172	382	1826
173	383	1822
174	385	1817
175	386	1810
176	387	1803
177	389	1797
178	390	1791
179	392	1785
180	393	1778
181	394	1773
182	396	1768
183	397	1764
184	399	1759
185	400	1751
186	401	1746
187	402	1739
188	404	1735
189	405	1730
190	407	1725
191	408	1719
192	409	1714
193	411	1708
194	412	1704
195	414	1699
196	415	1694
197	417	1689
198	418	1683
199	419	1678
200	420	1673
201	422	1667
202	423	1663
203	425	1658
204	426	1652
205	427	1647
206	429	1643
207	430	1639
208	431	1632
209	432	1626
210	433	1622
211	435	1619
212	436	1614
213	438	1609
214	439	1605
215	440	1600
216	442	1596
217	443	1591
218	445	1587
219	446	1581
220	447	1576
221	448	1572
222	449	1567
223	450	1562
224	452	1558
225	453	1554
226	455	1550
227	456	1546
228	457	1540
229	483	1620
230	484	1613
231	485	1607
232	486	1600
233	487	1594
234	488	1588
235	488	1582
236	489	1575
237	495	1587
238	496	1581
239	497	1576
240	499	1572
241	500	1568
242	501	1562
243	503	1559
244	504	1554
245	505	1550
246	507	1547
247	509	1543
248	510	1539
249	512	1536
250	513	1533
251	515	1530
252	516	1526
253	518	1523
254	520	1520
255	521	1516
256	523	1513
257	524	1509
258	526	1506
259	528	1503
260	529	1499
261	531	1495
262	532	1492
263	534	1488
264	535	1485
265	536	1481
266	538	1478
267	540	1475
268	541	1472
269	543	1468
270	544	1465
271	546	1462
272	547	1459
273	549	1455
274	550	1452
275	552	1448
276	553	1445
277	555	1442
278	556	1439
279	558	1436
280	560	1433
281	561	1429
282	563	1426
283	564	1423
284	566	1420
285	567	1417
286	569	1414
287	570	1411
288	572	1408
289	574	1405
290	575	1402
291	577	1400
292	579	1397
293	580	1393
294	581	1390
295	583	1387
296	585	1384
297	586	1381
298	587	1378
299	589	1375
300	591	1372
301	592	1369
302	594	1366
303	595	1363
304	597	1360
305	598	1358
306	600	1355
307	601	1352
308	603	1349
309	604	1346
310	606	1343
311	608	1340
312	609	1338
313	611	1335
314	612	1332
315	614	1329
316	615	1327
317	617	1324
318	618	1320
319	619	1317
320	621	1314
321	622	1311
322	624	1308
323	625	1306
324	627	1304
325	629	1301
326	631	1298
327	632	1295
328	633	1292
329	635	1290
330	636	1287
331	637	1283
332	639	1280
333	640	1277
334	642	1274
335	643	1272
336	645	1269
337	646	1267
338	648	1264
339	650	1261
340	651	1259
341	652	1256
342	653	1252
343	655	1249
344	656	1247
345	658	1244
346	659	1241
347	661	1239
348	662	1236
349	664	1233
350	665	1231
351	667	1228
352	668	1225
353	669	1222
354	671	1220
355	673	1217
356	674	1214
357	675	1211
358	677	1208
359	678	1205
360	679	1202
361	680	1199
362	681	1196
363	683	1193
364	684	1191
365	686	1189
366	688	1187
367	690	1185
368	692	1183
369	694	1181
370	695	1179
371	697	1178
372	699	1175
373	701	1174
374	703	1172
375	705	1170
376	707	1168
377	708	1166
378	710	1164
379	712	1163
380	714	1160
381	716	1159
382	718	1157
383	720	1155
384	722	1153
385	724	1152
386	726	1150
387	728	1148
388	729	1146
389	731	1144
390	733	1142
391	735	1141
392	737	1139
393	739	1138
